# topic	question	answer	trap	caps
python	Why does def f(x, items=[]) accumulate values across calls, and what is the fix?	The default is evaluated once at def time, so every call that omits items shares one list object. Fix by defaulting to None and creating the list inside the body.	Candidates "fix" it by calling items.clear() at the top, which silently breaks any caller who legitimately passed a list. The correct fix is items=None then if items is None: items = [].	Y1
python	When is it correct to use is instead of ==, and why does a is b sometimes lie for integers?	Use is only for singletons - None, True, False - because it tests identity. Use == for value. It appears to work for small integers because CPython caches -5 to 256, and fails outside that range.	"is is just a faster ==". It passes in the REPL for x = 5 and fails for x = 1000, so the candidate has shipped a bug that only appears with large values.	Y1
python	Generator versus list comprehension, and when does the difference matter for a 2 GB telemetry file?	A generator expression is lazy, single-pass and O(1) memory; a list comprehension is eager, reusable and O(n). For a file larger than RAM you must stream.	Saying "generators are just slower lists" and reaching for the list. The subtler trap is forgetting a generator is single-use, so iterating it a second time silently yields nothing.	Y2,Y3
python	What does the GIL actually lock, and when does threading still help?	It permits one thread to execute Python bytecode at a time. It kills CPU-bound parallelism but not I/O-bound concurrency, because the GIL is released during blocking I/O. Serial reads and instrument waits still benefit from threads; CPU-bound work needs multiprocessing.	"The GIL makes Python single-threaded so threads are useless." For a test harness that spends its life blocked on hardware I/O, threads are exactly the right tool.	Y1
python	Write a decorator that retries a flaky instrument read three times. What one line do people forget?	A loop around the call catching the exception, with a decorator factory to take the retry count. The forgotten line is @functools.wraps(func) on the inner wrapper, which preserves __name__, __doc__ and introspection.	Omitting functools.wraps looks harmless until pytest discovery or your logs report every decorated function as "wrapper", so you cannot tell which test actually ran.	Y1
python	Why is a context manager the right way to own a serial port, and what does __exit__ guarantee?	__enter__ acquires and __exit__ runs on both normal exit and exception, so the port closes even when an assertion fails mid-test. Implement with __enter__/__exit__ or contextlib.contextmanager.	Putting ser.close() at the end of the function. If an assert raises first, the port leaks and every subsequent test fails to open it - which then gets misdiagnosed as flaky hardware.	Y1,T11
python	Shallow versus deep copy for a nested config dict passed into ten parametrized tests?	Shallow copy duplicates the top level but shares nested objects, so mutating a nested list bleeds across tests. copy.deepcopy fully isolates.	"I copied the dict, so the tests are isolated." With nested lists the shared inner object produces a test that passes alone and fails in a suite - the textbook flaky-test root cause.	Y1,T11
python	Why does a loop that builds lambdas end up with all of them capturing the last value?	Closures capture the variable by reference, not the value at creation, so every lambda sees the final loop value. Bind per iteration with a default argument: lambda x, i=i: ...	Believing each lambda "remembers" the value it was created with. It remembers the variable. This bites when generating per-channel test callbacks in a loop.	Y1
python	What are *args and **kwargs, type-wise?	args is a tuple, kwargs is a dict. They pack extra positional and keyword arguments. They are ordinary objects, not special syntax at the point of use.	Forgetting kwargs is a plain dict, so .get with a default and membership tests apply, and forgetting args is immutable so you cannot append to it.	Y1
python	Why should you not rely on __del__ to close a hardware handle?	Its timing is non-deterministic - it depends on refcounting and GC, may never run at interpreter exit, and exceptions raised inside it are ignored. Use a context manager or explicit teardown.	"I release the port in __del__" sounds tidy and leaks under reference cycles, producing silent failures with no traceback to debug.	Y1
python	bare except versus except Exception in a test runner?	A bare except also catches KeyboardInterrupt and SystemExit, so Ctrl-C cannot kill a hung hardware test and the runner swallows exit signals. Catch specific exceptions, or at minimum Exception.	Wrapping a test body in try/except: pass to "make it robust" produces a green suite that tested nothing - the worst possible outcome in a regulated context.	Y1,T11
python	How do you compare two measured floats in an assertion?	Never with ==. Use math.isclose or pytest.approx with an explicit tolerance derived from the measurement uncertainty and the spec, not a guess.	assert reading == 3.3 fails on 3.3000000001 from an ADC. The wrong instinct is to round both sides; the right move is a tolerance band you can trace to a requirement.	Y1,T25
bytes	struct.unpack('IIII', buf) gives different numbers on two machines. Why?	No prefix means native byte order and native alignment. Prefix with < for little-endian, > for big, or ! for network order to make it deterministic.	The silent killer: a byte order mismatch does not raise. The code runs and returns plausible but wrong integers, so it passes review and fails in the field.	Y2
bytes	What must you check before calling struct.unpack on a frame you just read off a serial port?	That you have exactly calcsize(fmt) bytes. A short buffer raises struct.error; a long one is silently ignored past the format length. Validate len() or use unpack_from with a known offset.	Assuming ser.read(n) returns n bytes. It returns up to n. On a real port under load you get a partial buffer, and the resulting exception gets blamed on the device.	Y2,T17
bytes	Difference between bytes and str, and why does mixing them break telemetry code?	str is Unicode text, bytes is raw octets. pyserial and sockets hand you bytes, so either decode before comparing to a str or keep everything in bytes literals like b'OK'.	Writing if ser.read() == 'OK'. In Python 3 bytes and str are never equal, so the branch silently never fires and the test reports a device fault that does not exist.	Y2
bytes	You unpack a million packets in a loop. How do you make struct faster?	Precompile the format once with s = struct.Struct(fmt), then call s.unpack. That skips re-parsing the format string on every call, which is the dominant cost in high-throughput packet processing.	Assuming struct.unpack with a literal format is already cached internally. It re-parses the format a million times.	Y2
bytes	How do you edit a large binary buffer in place without copying it?	bytearray is mutable, memoryview gives zero-copy slicing, and struct.pack_into writes into an existing buffer at an offset. Plain bytes is immutable, so every edit allocates.	Slicing and reassembling bytes to "modify" a header. Each edit is an O(n) copy, so a loop over a large buffer quietly becomes quadratic and blows the memory budget.	Y2
bytes	Format code for a signed versus unsigned 16-bit field, and what happens if you pick wrong?	h is int16, H is uint16, b and B are the 8-bit pair, i and I the 32-bit pair. The wrong choice reinterprets the same two's-complement bits, so 0xFFFF reads as -1 or as 65535.	A sensor returning 0xFFF6 decoded as H reads 65526 instead of -10. It looks like data, so nothing crashes and the bug survives until a range assertion catches it - assuming you wrote one.	Y2
bytes	Native mode versus standard mode in struct - what changes besides byte order?	Native (@) uses C-compiler alignment and inserts padding between fields. The standard modes (<, >, =, !) use fixed sizes and no padding. Matching a wire protocol requires a standard mode.	Using @ to match an on-wire packet inserts pad bytes the packet does not contain, so the first field decodes correctly and everything after it misaligns. The partial correctness is what makes it hard to spot.	Y2
bytes	int.from_bytes versus struct.unpack for a single multi-byte integer?	int.from_bytes(buf, 'little') is cleaner for one integer of arbitrary width, including odd widths. struct is better for fixed multi-field records. Both require explicit endianness.	Reaching for struct.unpack on a 24-bit field. struct has no 3-byte integer code, so people pad it wrongly instead of using int.from_bytes which handles arbitrary widths.	Y2
bytes	How do you reassemble frames that split across serial read() boundaries?	Accumulate into a persistent buffer, scan for the sync byte and declared length, pop complete frames, and keep the remainder for the next read. A read is a stream chunk, not a message.	Treating each read() as one whole frame. It works on the bench where timing is generous and corrupts frames the moment the device is under load or the host is busy.	Y2,T18
bytes	Parsing a variable-length type-length-value stream - what is the parse order?	Read the type, read the length, then read exactly length bytes of value, advance the offset and repeat. Validate the declared length against the remaining buffer before slicing.	Hardcoding field offsets. It works until the first optional or variable-length field, and the failure mode is misaligned garbage rather than an exception.	Y2
python	What does this print?\n\ndef add(x, items=[]):\n    items.append(x)\n    return items\n\nprint(add(1)); print(add(2))	[1] then [1, 2]. The default list is created ONCE, at def time, and every call that omits items shares that one object.	Predicting [1] then [2]. It reads as if the default is rebuilt per call. It is not - the object is bound to the function, and it survives.	Y1
python	What does this print?\n\nx = int('256'); y = int('257')\nprint(x is 256, y is 257)	True False. CPython caches every int from -5 to 256, so any 256 you build is the same object; 257 is allocated fresh. Note the values must be COMPUTED - written as plain literals in one file, the compiler folds them and even 257 compares True, which is why this trap is so often demonstrated wrongly.	Predicting True True, because `is` looks like a faster `==`. It passes in the REPL for small numbers and fails for large ones, so the bug only appears with real data. `is` is only ever correct for None, True and False.	Y1
python	What does this print?\n\ng = (n * 2 for n in range(3))\nprint(sum(g)); print(sum(g))	6 then 0. A generator is single-use: the first sum() exhausts it, and the second iterates an empty iterator - which returns 0 rather than raising.	Predicting 6 then 6. The silent part is that re-iterating does not error, it just yields nothing, so a second pass over a stream quietly reports zero.	Y1
